,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
129321,170.0,12.0,3.0,0.0,96.0,192.0,26.0,89.0,197.0,294.0,56.0,No,0.0,0.73,0.68,0.0,No,No,No,Yes,No,No
496434,239.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.74,0.74,0.0,Yes,No,No,Yes,No,No
475418,0.0,2.0,0.0,4.0,7.0,8.0,0.0,0.0,0.0,0.0,1.0,No,4.0,-99.0,-99.0,0.0,Yes,No,Yes,Yes,No,No
495935,2613.0,8.0,0.0,0.0,0.0,0.0,38.0,113.0,255.0,417.0,46.0,No,0.0,0.98,0.93,0.0,No,No,No,Yes,No,No
843770,338.0,8.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0,16.0,4.0,No,0.0,0.95,0.95,0.0,No,No,Yes,Yes,No,No
374995,417.0,8.0,0.0,0.0,0.0,0.0,24.0,79.0,142.0,235.0,55.0,No,0.0,0.9,0.94,0.0,No,No,No,Yes,No,No
74112,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.62,0.73,0.0,No,No,No,Yes,No,No
1176147,21.0,2.0,23.0,21.0,64.0,107.0,15.0,48.0,95.0,148.0,22.0,No,0.0,0.94,0.97,0.0,No,No,No,Yes,No,No
1079176,22.0,2.0,0.0,0.0,0.0,0.0,8.0,10.0,11.0,11.0,0.0,No,0.0,0.5,0.39,0.0,No,No,No,Yes,No,No
231843,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.77,0.8,0.0,No,No,No,Yes,No,No
417818,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.65,0.75,0.0,Yes,No,No,Yes,No,No
974680,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.79,0.86,0.0,No,No,No,Yes,No,No
933068,14.0,8.0,0.0,0.0,5.0,14.0,0.0,3.0,14.0,27.0,9.0,No,0.0,0.5,0.46,0.0,No,No,No,Yes,No,No
1496468,0.0,,0.0,0.0,0.0,0.0,20.0,57.0,442.0,533.0,166.0,No,0.0,-99.0,-99.0,0.0,No,No,No,Yes,Yes,No
1352609,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.73,0.79,0.0,No,No,No,Yes,No,No
1226265,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,-99.0,-99.0,0.0,Yes,No,No,Yes,No,No
1050503,0.0,12.0,0.0,224.0,424.0,424.0,0.0,0.0,0.0,0.0,18.0,No,0.0,0.58,0.58,0.0,No,No,No,Yes,No,No
518145,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.95,0.97,0.0,No,No,No,Yes,No,No
1079497,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.96,0.97,0.0,No,No,No,Yes,No,No
1235463,11.0,12.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.48,0.48,0.0,Yes,No,No,Yes,No,No
697350,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,No,0.0,0.87,0.9,0.0,No,No,No,Yes,No,No
581291,419.0,8.0,1.0,669.0,969.0,1169.0,84.0,281.0,508.0,981.0,178.0,No,0.0,1.0,1.0,0.0,No,No,No,Yes,No,No
1517130,4.0,9.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,4.0,0.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,No
405536,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,No,0.0,0.32,0.27,0.0,Yes,No,No,Yes,No,No
