national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder,
0,62,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
1,9,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,No,No,Yes,No,No,No
2,17,8,0,0,0,0,0,0,0,0,0,No,0,0.92,0.95,0,No,No,No,Yes,No,No
3,9,2,0,0,0,0,0,0,0,2,0,No,0,0.78,0.75,0,No,No,Yes,Yes,No,No
4,2,8,0,0,0,0,0,0,0,0,0,No,0,0.54,0.71,0,No,No,No,Yes,No,No
5,15,2,0,0,0,0,0,0,1,2,0,No,0,0.37,0.68,0,No,No,No,Yes,No,No
6,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
7,28,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
13,208,16,0,0,0,0,0,0,0,0,0,No,0,0.66,0.64,0,No,No,No,Yes,No,No
14,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
15,0,2,0,0,0,0,0,0,0,0,0,No,0,0.37,0.34,0,No,No,Yes,Yes,No,No
16,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
17,26,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
18,36,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
19,23,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
20,2,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
21,265,,0,0,0,0,2,14,29,46,2,No,0,-99,-99,0,Yes,No,No,Yes,No,No
22,5,8,0,0,0,0,0,0,0,0,0,No,0,0.95,0.97,0,No,No,No,Yes,No,No
23,7,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
24,73,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
25,9,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
26,755,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
27,5,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
28,1169,,0,922,2379,3483,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
29,4,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
30,7577,8,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,No,No,Yes,No,No
31,16,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
32,85,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
33,5,,0,0,0,0,0,0,0,1,0,No,0,-99,-99,0,No,No,No,Yes,No,No
34,0,2,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,No,No,Yes,No,No
35,16,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,Yes,Yes,No,No
36,37,8,0,0,0,0,0,0,0,0,1,No,0,0.97,0.95,0,No,No,No,Yes,No,No
37,239,2,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
38,0,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,No,No,Yes,No,No,No
39,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
40,29,,0,0,0,0,0,0,1,1,0,No,0,-99,-99,0,No,No,No,Yes,No,No
41,20,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
42,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
43,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
44,20,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,No,No,No
45,53,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,No,No,No
46,169,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,No,No,No,No
47,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
48,10,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
49,117,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
50,4,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,Yes,Yes,No,No
51,1,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
52,3,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
53,3,12,0,0,0,0,0,0,0,0,0,No,0,0.57,0.68,0,No,No,No,Yes,No,No
54,35,52,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,No,No,No,No
55,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
56,96,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,No,No,No
57,139,,0,0,0,0,0,0,0,2,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
58,4,8,0,0,0,0,0,0,0,0,0,No,0,0.64,0.64,0,No,No,No,Yes,No,No
59,73,8,0,0,0,0,0,0,0,0,0,No,0,0.98,0.99,0,No,No,No,Yes,No,No
60,61,2,0,0,0,0,0,0,0,0,0,No,0,0.99,0.99,0,No,No,No,Yes,No,No
61,8,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
62,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
63,20,12,0,0,0,0,0,0,0,0,1,No,0,0.48,0.48,0,Yes,No,No,Yes,No,No
64,49,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
65,37,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,No,No,No
66,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,Yes,Yes,No,No
67,19,8,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
68,8,12,0,0,0,0,0,0,0,0,0,No,0,0.57,0.68,0,No,No,No,Yes,No,No
69,8,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
70,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
71,615,2,0,0,0,0,0,0,0,3,0,No,0,-99,-99,0,No,No,No,Yes,No,No
72,4,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
73,20,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
74,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
75,6,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
76,2,,0,0,0,0,0,0,1,1,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
77,99,,0,0,0,0,0,0,4,5,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
78,8,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,Yes,Yes,No,No
79,19,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
80,1971,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,Yes,No,No,No
81,2,12,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
82,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,Yes,Yes,No,No
83,17,52,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
84,9,8,0,0,0,0,0,0,0,0,0,No,0,0.89,0.82,0,No,No,No,Yes,No,No
85,8,8,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
86,748,8,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
87,2,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
88,11,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,Yes,Yes,No,No
89,84,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
90,23,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,No,No,No,Yes,No,No
91,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
92,30,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,No,No,No
93,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
94,9,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
95,27,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,No,No,No
96,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
97,0,,0,0,0,0,1,1,2,2,0,No,0,-99,-99,0,No,No,No,Yes,No,No
98,4,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
99,20,2,0,0,0,0,0,0,0,0,0,No,0,0,0,0,No,No,No,Yes,No,No
100,1022,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
101,2,8,0,0,0,0,0,0,1,1,0,No,0,0.96,0.98,0,No,No,No,Yes,No,No
102,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
103,36,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
104,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
105,4,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
106,37,,0,0,11,22,5,19,49,86,0,No,0,-99,-99,0,No,No,No,Yes,No,No
107,10,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,Yes,No,No,No,No,No
108,121,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
109,2,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
110,47,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,No,No,No,No,No,No
111,335,,0,0,0,0,0,0,1,1,0,No,0,-99,-99,0,Yes,No,No,No,No,No
112,937,,0,0,0,0,0,0,8,38,0,No,0,-99,-99,0,Yes,No,No,No,No,No
113,9,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,No,No,No,Yes,No,No
114,40,,0,0,0,0,0,0,0,1,1,No,0,-99,-99,0,Yes,No,No,Yes,No,No
115,6,12,0,0,0,0,0,0,0,0,0,No,0,0.7,0.76,0,No,No,No,Yes,No,No
116,300,8,0,0,0,0,0,0,0,0,0,No,0,0.53,0.54,0,No,No,Yes,Yes,No,No
117,306,,0,0,0,0,0,0,0,0,3,No,0,-99,-99,0,No,No,Yes,No,No,No
118,5,2,0,0,0,0,0,0,0,0,0,No,0,0.9,0.93,0,No,No,No,Yes,No,No
119,1473,12,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,No,No,No,Yes,No,No
120,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
121,13,3,0,0,7,15,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
122,25,2,0,0,0,0,0,0,0,0,0,No,0,0.81,0.78,0,No,No,No,Yes,No,No
123,1,12,0,0,0,0,0,0,0,0,0,No,0,0.73,0.79,0,No,No,No,Yes,No,No
124,2,2,0,0,0,0,0,0,0,0,0,No,0,0.96,0.9,0,No,No,No,Yes,No,No
125,8,9,0,0,0,0,0,0,0,0,1,No,0,0.54,0.48,0,No,No,No,Yes,No,No
126,13,8,0,0,0,0,0,0,0,0,0,No,0,0.95,0.97,0,No,No,No,Yes,No,No
127,9,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,No,No,Yes,No,No,No
128,500,2,0,0,0,0,0,0,0,0,0,No,0,0.68,0.75,0,No,No,No,Yes,No,No
129,7,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
130,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
131,56,,0,0,0,0,0,0,0,8,0,No,0,-99,-99,0,Yes,No,Yes,Yes,No,No
132,19,8,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
133,6,,2,0,0,0,0,4,6,8,4,No,0,-99,-99,0,No,No,No,No,No,No
134,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
135,3,,0,0,0,0,0,0,0,0,1,No,0,-99,-99,0,No,No,No,Yes,No,No
136,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
137,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
138,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
139,0,2,0,0,0,0,0,0,0,0,0,No,0,0.98,0.96,0,No,No,No,Yes,No,No
140,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
141,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
142,41,2,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
143,0,2,0,0,0,0,0,0,0,0,0,No,0,0.53,0.53,0,No,No,Yes,Yes,No,No
144,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
145,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,No
146,6719,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
147,0,,0,0,0,0,0,0,0,0,2,No,0,-99,-99,0,Yes,No,No,Yes,No,No
148,6,2,0,0,16,16,0,0,0,0,1,No,0,0.95,0.84,0,Yes,No,No,Yes,No,No
149,23,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,Yes,No,No,Yes,No,No
